"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","363935","","","","0"
"2007/2008","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","376992","","","","0"
"2008/2009","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","383257","","","","0"
"2009/2010","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","382159","","","","0"
"2010/2011","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","378665","","","","0"
"2011/2012","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","380335","","","","0"
"2012/2013","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","382609","","","","0"
"2013/2014","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","382877","","","","0"
"2014/2015","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","383839","","","","0"
"2015/2016","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","384300","","","","0"
"2016/2017","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","380554","","","","0"
"2017/2018","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","377163","","","","0"
"2018/2019","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","373307","","","","0"
"2019/2020","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","371321","","","","0"
"2020/2021","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","362563","","","","0"
"2021/2022","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","364503","","","","0"
"2022/2023","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","351708","","","","0"
"2023/2024","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","359885","","","","0"
"1971/1972","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","159533","","","","0"
"1972/1973","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","162618","","","","0"
"1973/1974","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","166284","","","","0"
"1974/1975","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","168751","","","","0"
"1975/1976","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","166428","","","","0"
"1976/1977","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","165747","","","","0"
"1977/1978","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","169030","","","","0"
"1978/1979","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","165805","","","","0"
"1979/1980","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","171460","","","","0"
"1980/1981","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","170535","","","","0"
"1981/1982","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","172352","","","","0"
"1982/1983","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","176522","","","","0"
"1983/1984","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","174159","","","","0"
"1984/1985","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","179085","","","","0"
"1985/1986","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","183353","","","","0"
"1986/1987","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","182599","","","","0"
"1987/1988","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","189917","","","","0"
"1988/1989","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","188408","","","","0"
"1989/1990","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","192608","","","","0"
"1990/1991","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","192439","","","","0"
"1991/1992","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","196967","","","","0"
"1992/1993","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","201808","","","","0"
"1993/1994","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","206464","","","","0"
"1994/1995","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","209389","","","","0"
"1995/1996","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","209766","","","","0"
"1996/1997","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","217221","","","","0"
"1997/1998","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","217688","","","","0"
"1998/1999","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","217632","","","","0"
"1999/2000","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","217229","","","","0"
"2000/2001","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","219320","","","","0"
"2001/2002","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","220847","","","","0"
"2002/2003","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","224254","","","","0"
"2003/2004","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","229256","","","","0"
"2004/2005","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","230211","","","","0"
"2005/2006","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","225915","","","","0"
"2006/2007","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","234193","","","","0"
"2007/2008","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","236696","","","","0"
"2008/2009","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","237896","","","","0"
"2009/2010","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","237330","","","","0"
"2010/2011","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","245667","","","","0"
"2011/2012","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","242669","","","","0"
"2012/2013","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","251865","","","","0"
"2013/2014","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","253122","","","","0"
"2014/2015","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","266313","","","","0"
"2015/2016","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","262278","","","","0"
"2016/2017","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","274517","","","","0"
"2017/2018","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","283939","","","","0"
"2018/2019","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","283148","","","","0"
"2019/2020","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","297195","","","","0"
"2020/2021","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","307297","","","","0"
"2021/2022","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","323105","","","","0"
"2022/2023","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","337708","","","","0"
"2023/2024","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","344593","","","","0"
"1971/1972","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","117036","","","","0"
"1972/1973","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","138526","","","","0"
"1973/1974","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","217456","","","","0"
"1974/1975","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","209283","","","","0"
"1975/1976","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","170028","","","","0"
"1976/1977","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","130931","","","","0"
"1977/1978","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","100967","","","","0"
"1978/1979","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","84518","","","","0"
"1979/1980","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","143825","","","","0"
"1980/1981","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","127238","","","","0"
"1981/1982","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","135339","","","","0"
"1982/1983","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","101404","","","","0"
"1983/1984","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","88592","","","","0"
"1984/1985","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","83925","","","","0"
"1985/1986","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","88657","","","","0"
"1986/1987","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","130880","","","","0"
"1987/1988","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","152211","","","","0"
"1988/1989","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","177632","","","","0"
"1989/1990","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","203357","","","","0"
"1990/1991","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","221382","","","","0"
"1991/1992","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","244281","","","","0"
"1992/1993","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","266890","","","","0"
"1993/1994","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","235360","","","","0"
"1994/1995","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","220738","","","","0"
"1995/1996","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","217478","","","","0"
"1996/1997","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","224857","","","","0"
"1997/1998","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","194459","","","","0"
"1998/1999","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","173194","","","","0"
"1999/2000","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","205710","","","","0"
"2000/2001","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","252527","","","","0"
"2001/2002","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","256405","","","","0"
"2002/2003","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","199170","","","","0"
"2003/2004","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","239101","","","","0"
"2004/2005","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","244599","","","","0"
"2005/2006","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","254381","","","","0"
"2006/2007","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","238127","","","","0"
"2007/2008","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","249632","","","","0"
"2008/2009","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","245313","","","","0"
"2009/2010","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","270635","","","","0"
"2010/2011","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","259143","","","","0"
"2011/2012","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","260043","","","","0"
"2012/2013","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","263115","","","","0"
"2013/2014","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","267936","","","","0"
"2014/2015","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","240775","","","","0"
"2015/2016","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","323188","","","","0"
"2016/2017","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","272694","","","","0"
"2017/2018","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","303369","","","","0"
"2018/2019","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","313603","","","","0"
"2019/2020","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","284153","","","","0"
"2020/2021","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","226314","","","","0"
"2021/2022","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","493236","","","","0"
"2022/2023","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","468913","","","","0"
"2023/2024","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","464265","","","","0"
"1971/1972","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","26577","","","","0"
"1972/1973","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","27733","","","","0"
"1973/1974","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","46754","","","","0"
"1974/1975","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","40502","","","","0"
"1975/1976","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","30315","","","","0"
"1976/1977","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","25057","","","","0"
"1977/1978","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","31437","","","","0"
"1978/1979","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","30857","","","","0"
"1979/1980","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","20521","","","","0"
"1980/1981","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","17819","","","","0"
"1981/1982","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","29110","","","","0"
"1982/1983","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","31121","","","","0"
"1983/1984","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","31750","","","","0"
"1984/1985","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","28134","","","","0"
"1985/1986","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","24794","","","","0"
"1986/1987","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","31006","","","","0"
"1987/1988","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","26685","","","","0"
"1988/1989","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","26308","","","","0"
"1989/1990","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","25834","","","","0"
"1990/1991","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","28484","","","","0"
"1991/1992","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","49475","","","","0"
"1992/1993","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","48458","","","","0"
"1993/1994","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","52844","","","","0"
"1994/1995","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","53426","","","","0"
"1995/1996","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","49106","","","","0"
"1996/1997","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","59423","","","","0"
"1997/1998","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","58708","","","","0"
"1998/1999","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","56084","","","","0"
"1999/2000","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","55973","","","","0"
"2000/2001","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","55419","","","","0"
"2001/2002","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","51980","","","","0"
"2002/2003","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","52192","","","","0"
"2003/2004","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","55303","","","","0"
"2004/2005","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","53572","","","","0"
"2005/2006","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","54259","","","","0"
"2006/2007","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","45800","","","","0"
"2007/2008","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","51107","","","","0"
"2008/2009","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","47991","","","","0"
"2009/2010","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","42074","","","","0"
"2010/2011","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","42862","","","","0"
"2011/2012","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","54886","","","","0"
"2012/2013","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","51802","","","","0"
"2013/2014","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","53501","","","","0"
"2014/2015","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","54044","","","","0"
"2015/2016","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","54897","","","","0"
"2016/2017","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","56480","","","","0"
"2017/2018","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","39865","","","","0"
"2018/2019","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","34966","","","","0"
"2019/2020","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","31669","","","","0"
"2020/2021","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","25726","","","","0"
"2021/2022","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","47253","","","","0"
"2022/2023","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","48114","","","","0"
"2023/2024","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","49533","","","","0"
"1971/1972","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","66034","","","","0"
"1972/1973","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","63850","","","","0"
"1973/1974","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","83501","","","","0"
"1974/1975","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","78021","","","","0"
"1975/1976","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","66714","","","","0"
"1976/1977","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","57807","","","","0"
"1977/1978","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","63321","","","","0"
"1978/1979","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","62358","","","","0"
"1979/1980","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","49879","","","","0"
"1980/1981","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","44863","","","","0"
"1981/1982","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","54786","","","","0"
"1982/1983","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","59226","","","","0"
"1983/1984","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","57770","","","","0"
"1984/1985","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","55202","","","","0"
"1985/1986","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","50595","","","","0"
"1986/1987","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","47707","","","","0"
"1987/1988","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","40978","","","","0"
"1988/1989","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","40395","","","","0"
"1989/1990","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","39760","","","","0"
"1990/1991","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","43692","","","","0"
"1991/1992","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","45633","","","","0"
"1992/1993","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","43993","","","","0"
"1993/1994","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","49456","","","","0"
"1994/1995","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","52069","","","","0"
"1995/1996","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","48396","","","","0"
"1996/1997","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","52815","","","","0"
"1997/1998","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","51816","","","","0"
"1998/1999","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","48008","","","","0"
"1999/2000","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","48089","","","","0"
"2000/2001","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","47766","","","","0"
"2001/2002","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","50149","","","","0"
"2002/2003","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","53890","","","","0"
"2003/2004","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","58184","","","","0"
"2004/2005","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","57633","","","","0"
"2005/2006","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","61412","","","","0"
"2006/2007","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","66512","","","","0"
"2007/2008","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","66158","","","","0"
"2008/2009","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","61531","","","","0"
"2009/2010","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","58046","","","","0"
"2010/2011","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","61466","","","","0"
"2011/2012","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","65393","","","","0"
"2012/2013","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","62129","","","","0"
"2013/2014","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","63722","","","","0"
"2014/2015","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","65837","","","","0"
"2015/2016","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","67893","","","","0"
"2016/2017","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","119964","","","","0"
"2017/2018","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","98271","","","","0"
"2018/2019","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","92204","","","","0"
"2019/2020","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","77591","","","","0"
"2020/2021","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","66627","","","","0"
"2021/2022","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","99756","","","","0"
"2022/2023","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","101570","","","","0"
"2023/2024","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","104565","","","","0"
"1971/1972","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","39457","","","","0"
"1972/1973","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","36117","","","","0"
"1973/1974","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","36747","","","","0"
"1974/1975","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","37519","","","","0"
"1975/1976","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","36399","","","","0"
"1976/1977","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","32750","","","","0"
